time,open,high,low,close,EMA,EMA,ATR,成交量,均量,■ 正常,■ 没劲了(动力耗尽),■ 蓄力(量大不动),■ 假突破(冲高被打),■ 假跌破(探底弹回),■ 拉锯(多空对打),RSI,Regular Bullish,Regular Bullish Label,Hidden Bullish,Hidden Bullish Label,Regular Bearish,Regular Bearish Label,Hidden Bearish,Hidden Bearish Label
1774295100,4416.96,4427.865,4397.415,4397.99,4412.865102227156,4398.6800473538,34.84899632551035,29334,30390.734206460642,0,0,0,0,0,0,47.97226363287458,,,,,,,,
1774296000,4398.325,4408.67,4382.855,4403.725,4412.034183842869,4398.877888634042,34.203710873688216,14015,28831.14047251201,0,0,0,0,0,0,49.085658098819714,,,,,,,,
1774296900,4403.725,4413.34,4403.685,4407.285,4411.602439857154,4399.207579275845,32.45023152556761,6806,26733.508046558483,0,0,0,0,0,0,49.80376081032968,,,,,,,,
1774297800,4407.26,4411.43,4395.875,4410.835,4411.532672597413,4399.663556559145,31.243429273741373,5937,24752.888232600533,0,0,0,0,0,0,50.552709337341206,,,,,,,,
1774298700,4410.865,4412.915,4405.085,4406.505,4411.075611452194,4399.931848458787,29.571041468474128,5460,22915.470305686198,0,0,0,0,0,0,49.58099139032605,,,,,,,,
1774303200,4382.825,4403.055,4359.74,4398.355,4409.919192229267,4399.870011264325,30.79918136358314,10672,21749.425514668466,0,0,0,0,0,0,47.72162322519022,47.72162322519022,,47.72162322519022,,,,,
1774304100,4398.34,4415.7,4389.42,4414.44,4410.330174753879,4400.441383371606,30.476382694755756,10488,20676.908798985754,0,0,0,0,0,0,51.58097498884142,,,,,,,,
1774305000,4414.43,4417.16,4398.23,4409.1,4410.218340685345,4400.780936964877,29.651641073701796,8815,19547.20319908235,0,0,0,0,0,0,50.254580236452824,,,,,,,,
1774305900,4409.085,4431.365,4406.575,4426.855,4411.730764259404,4401.803449240764,29.30438099700881,7565,18406.040989645935,0,0,0,0,0,0,54.44876454907658,,,,,,,,
1774306800,4426.83,4437.65,4423.47,4435.76,4413.915240235822,4403.135078682303,28.224068068650997,11260,17725.465657298704,0,0,0,0,0,0,56.43281120165681,,,,,,,,
1774307700,4435.735,4448.355,4433.57,4441.905,4416.459763850748,4404.655467753585,27.264134635175914,9054,16899.611785175017,0,0,0,0,0,0,57.79880618049092,,,,,57.79880618049092,,57.79880618049092,
1774308600,4441.9,4444.68,4422.035,4430.94,4417.776148955225,4405.686233724033,26.934196446949095,8892,16136.982091348826,0,0,0,0,0,0,54.51429034305887,,,,,,,,
1774309500,4430.88,4446.355,4422.235,4441.245,4419.909680868386,4407.080695146619,26.73318241502415,11602,15705.07903502989,0,0,0,0,0,0,56.988093980232534,,,,,,,,
1774310400,4441.05,4446.785,4419.82,4422.2,4420.117891698533,4407.673609062438,26.749740813951007,15088,15646.309603122281,0,0,0,0,0,0,51.42192665366664,,,,,,,,
1774311300,4422.335,4423.39,4368.375,4378.63,4416.346265180484,4406.534644001166,28.768687898668816,19559,16018.946783777303,0,0,0,0,0,0,41.447985167688344,,,,,,,,
1774312200,4378.645,4387.5,4331.36,4344.73,4409.835695618622,4404.110932471709,30.723781620192494,28537,17211.142328179463,0,0,0,0,0,0,35.65347007622003,35.65347007622003,,35.65347007622003,,,,,
1774313100,4344.735,4387.035,4343.37,4364.59,4405.7224505623835,4402.561091982622,31.64815436160731,27456,18186.84305882904,0,0,0,0,0,0,40.868941355472884,,,,,,,,
1774314000,4364.635,4374.555,4328.49,4331.35,4398.961318693076,4399.768500140166,32.67792905006397,35001,19788.19133894056,0,0,0,0,0,0,35.65930137722653,,,,,,,,
1774314900,4331.385,4369.15,4331.225,4354.795,4394.9461988118865,4398.004833468002,33.05271983220221,26895,20465.030259041458,0,0,0,0,0,0,41.339147844624364,,,,,,,,
1774315800,4354.77,4368.645,4321.86,4322.065,4388.320635283533,4395.026800782983,34.03359698704496,26738,21062.455948656556,0,0,0,0,0,0,36.49551936388874,,,,,,,,
1774316700,4321.925,4331.93,4307.99,4322.56,4382.342395712303,4392.18496545816,33.312625773684644,28095,21732.222048784504,0,0,0,0,0,0,36.61647596175385,,,,,,,,
1774317600,4322.545,4337.22,4305.88,4312.49,4375.992177920276,4389.059672695095,33.17172393270718,27283,22260.867567947884,0,0,0,0,0,0,35.149725974739326,35.149725974739326,,35.149725974739326,,,,,
1774318500,4312.41,4353.995,4309.715,4352.47,4373.853798109341,4387.624783569798,33.96517222322808,24350,22459.832561476658,0,0,0,0,0,0,44.63244526460265,,,,,,,,
1774319400,4352.585,4373.445,4344.91,4366.865,4373.218452826674,4386.810674410198,33.577302778711775,33894,23548.800888955073,0,0,0,0,0,0,47.603281618983225,,,,,47.603281618983225,,47.603281618983225,
1774320300,4366.85,4379.465,4352.09,4365.94,4372.556775296976,4385.99221659019,33.134281151660936,28975,24065.581756673637,0,0,0,0,0,0,47.42717915694977,,,,,,,,
1774321200,4365.895,4368.02,4350.175,4358.335,4371.263886633615,4384.907619861163,32.04218964082803,24921,24147.050160799958,0,0,0,0,0,0,45.92299534168861,,,,,,,,
1774322100,4358.325,4368.22,4355.68,4364.42,4370.641715121468,4384.104183788176,30.649176095054596,21071,23854.09300262853,0,0,0,0,0,0,47.361538357360494,,,,,,,,
1774323000,4364.41,4364.83,4338.69,4341.515,4367.9938319286075,4382.434019718051,30.327092088265005,18461,23340.465097616292,0,0,0,0,0,0,42.751390382279986,,,,,,,,
1774323900,4341.52,4349.91,4335.2,4347.5,4366.130756298734,4381.06405816048,29.21158551053179,11106,22175.27794546236,0,0,0,0,0,0,44.277679476945366,,,,,,,,
1774324800,4347.445,4357.36,4346.6,4350.04,4364.667960271577,4379.847428428697,27.893615116922327,12082,21214.01337922785,0,0,0,0,0,0,44.948483089956284,,,,,,,,
1774325700,4350.035,4350.58,4326.615,4339.775,4362.404963883251,4378.275960647179,27.612999751427886,15126,20634.20258120615,0,0,0,0,0,0,42.710725356892134,,,,,,,,
1774326600,4339.755,4348.18,4336.065,4341.045,4360.463148984773,4376.815922974741,26.505999769183088,12203,19831.230906805566,0,0,0,0,0,0,43.088236279909985,,,,,,,,
1774327500,4341.03,4349.58,4332.27,4333.595,4358.020589986158,4375.120984818868,25.849142642812833,11769,19063.399391871702,0,0,0,0,0,0,41.366212317546896,41.366212317546896,,41.366212317546896,,,,,
1774328400,4333.6,4345.925,4320.04,4335.245,4355.950081805598,4373.557220708324,25.851703882611933,17092,18875.6470688363,0,0,0,0,0,0,41.919843578941126,,,,,,,,
1774329300,4335.26,4346.735,4333.905,4334.94,4354.040074368725,4372.042819896233,24.921582176711073,18175,18808.918776566177,0,0,0,0,0,0,41.84119745224333,,,,,,,,
1774330200,4334.91,4374.06,4320.805,4358.435,4354.439613062477,4371.509179900302,26.945397735517435,32910,20151.878893083685,0,0,0,0,0,0,49.67389407800691,,,,,,,,
1774331100,4358.425,4369.1,4343.61,4347.69,4353.8260118749795,4370.575094414015,26.841440754409096,21672,20296.65233183762,0,0,0,0,0,0,46.583968715946654,,,,,,,,
1774332000,4347.69,4375.8,4343.23,4366.77,4355.002738068163,4370.42587502523,27.25062355766563,24921,20737.06639547213,0,0,0,0,0,0,52.26250075610848,,,,,,,,
1774332900,4366.755,4397.01,4359.015,4386.86,4357.898852789239,4371.0703505144365,28.01807901783236,24436,21089.34578637955,0,0,0,0,0,0,57.39797922318687,,,,,,,,
1774333800,4386.705,4397.13,4374.49,4377.58,4359.6880479902175,4371.325630886419,27.633930516558642,24941,21456.169997200544,0,0,0,0,0,0,54.48236587847014,,,,,,,,
1774334700,4377.68,4405.26,4373.035,4402.56,4363.585498172925,4372.550508106559,27.961864051090195,23037,21606.725235562397,0,0,0,0,0,0,60.324656574384036,,,,,,,,
1774335600,4402.54,4425.455,4400.065,4425.04,4369.172271066296,4374.608919553361,27.77815947601235,25033,21933.037117889788,0,0,0,0,0,0,64.71395421339038,,,,,64.71395421339038,,64.71395421339038,
1774336500,4425.025,4425.29,4405.92,4412.635,4373.123428242087,4376.100138394406,27.17757665629717,22220,21960.366916185998,0,0,0,0,0,0,60.72182751826363,,,,,,,,
1774337400,4412.575,4412.575,4399.775,4408.31,4376.322207492807,4377.363270222077,26.154892609418845,19798,21754.42720988257,0,0,0,0,0,0,59.347213595859635,,,,,,,,
1774338300,4408.275,4433.31,4401.895,4417.305,4380.047915902552,4378.929612566309,26.530614565888925,21794,21758.196047036614,0,0,0,0,0,0,61.308973679579104,,,,,,,,
1774339200,4417.54,4421.165,4402.33,4414.82,4383.209014456866,4380.337078740179,25.980927811182575,24646,22033.22499493789,0,0,0,0,0,0,60.4412155831922,,,,,,,,
1774340100,4414.785,4417.87,4391.285,4396.885,4384.452285869877,4380.9860168288,26.024075824669534,23778,22199.394043039043,0,0,0,0,0,0,54.45102849077258,,,,,,,,
1774341000,4396.89,4405.78,4391.88,4400.39,4385.901168972616,4381.746957345317,25.158070408621683,18299,21827.92794370199,0,0,0,0,0,0,55.38168975962569,,,,,,,,
1774341900,4400.39,4414.745,4398.345,4412.02,4388.275608156923,4382.934135488638,24.532493950862968,23801,22015.839568111325,0,0,0,0,0,0,58.41766557692218,,,,,,,,
